matrix_name,matrix_size,nnz,solver,tolerance,max_iters,rhs,precision,prec,prec_kv,prec_label,construction_time,is_converged,iters,true_relres_2,final_relres_2,final_relerr_2,final_relerr_A,solve_time,solve_status,condition_number
GHS_psdef/gridgena,48962,512084,cg,1e-12,97924,ones,double,none,,CG (double),0.0,1,880.0,9.940382267250276e-11,9.95462140232611e-13,1.15763378657197e-12,1.26432903528268e-12,0.492691416666667,reached_tol,568488.052246905
Oberwolfach/gyro,17361,1021159,cg,1e-12,34722,ones,double,none,,CG (double),0.0,1,29541.0,9.98792416023189e-13,9.98825018805713e-13,4.0056046083611803e-10,3.73367604002602e-12,19.3872779583333,reached_tol,3487732786.23306
Oberwolfach/gyro_k,17361,1021159,cg,1e-12,34722,ones,double,none,,CG (double),0.0,1,29541.0,9.98792416023189e-13,9.98825018805713e-13,4.0056046083611803e-10,3.73367604002602e-12,19.6188085416667,reached_tol,4437059289.93895
Oberwolfach/gyro_m,17361,340431,cg,1e-12,34722,ones,double,none,,CG (double),0.0,1,8427.0,9.29044784272591e-13,9.29130151174376e-13,6.60593800323538e-09,3.3498916375043595e-11,2.33344879166667,reached_tol,11239593.4318719
HB/lund_a,147,2449,cg,1e-12,294,ones,double,none,,CG (double),0.0,0,294.0,5.57101091822551e-08,5.57101091883187e-08,0.0002145646944083,1.55696837533473e-06,0.000830375,max_iterations,5442963.43505828
Boeing/msc01050,1050,26198,cg,1e-12,2100,ones,double,none,,CG (double),0.0,0,2100.0,1.81811378961978e-05,1.8181137894676e-05,0.518678999768664,0.0002745354924783,0.050770375,max_iterations,8999511679820590.0
Boeing/msc01440,1440,44998,cg,1e-12,2880,ones,double,none,,CG (double),0.0,0,2880.0,1.28291281309067e-08,1.28291284767684e-08,5.53396078311413e-05,2.27171572821739e-07,0.100153375,max_iterations,7001447.26464525
Boeing/msc04515,4515,97707,cg,1e-12,9030,ones,double,none,,CG (double),0.0,1,5273.0,9.94257595967642e-13,9.89217083938209e-13,1.9083838188995e-11,1.6706279739062899e-12,0.421478708333333,reached_tol,5482719.06197289
Boeing/msc10848,10848,1229776,cg,1e-12,21696,ones,double,none,,CG (double),0.0,0,21696.0,1.5102410658721e-07,1.51024108817614e-07,0.0480645238839633,2.6753522880621e-05,16.9812030416667,max_iterations,32873379211.5967
Boeing/msc23052,23052,1142686,cg,1e-12,46104,ones,double,none,,CG (double),0.0,0,46104.0,3.18409093039165e-07,3.18409089367561e-07,0.113692493348123,2.73584585398006e-05,33.835752375,max_iterations,1395293246641.22
Nasa/nasa1824,1824,39208,cg,1e-12,3648,ones,double,none,,CG (double),0.0,0,3648.0,3.37281099790615e-07,3.37281100632392e-07,0.0001274901877176,3.87172424395555e-06,0.124637375,max_iterations,6626362.28905092
Nasa/nasa2910,2910,174296,cg,1e-12,5820,ones,double,none,,CG (double),0.0,0,5820.0,5.98580818782759e-07,5.98580803941369e-07,5.02687129955562e-05,1.66181500376619e-06,0.654221625,max_iterations,17649962.4795213
Nasa/nasa4704,4704,104756,cg,1e-12,9408,ones,double,none,,CG (double),0.0,0,9408.0,5.90222902227398e-06,5.90222901761763e-06,0.0015743130361613,5.05215770994328e-05,0.81652875,max_iterations,123942245.516897
ND/nd12k,36000,14220946,cg,1e-12,72000,ones,double,none,,CG (double),0.0,1,10915.0,9.10031610100631e-09,9.96141630114004e-13,1.9970118387281298e-12,8.46082358108516e-12,112.332946583333,reached_tol,21797578.2699976
